player_id,player_name,season,age,box_plus_minus,height,weight,nba_draft_pick,win_shares,minutes_played,player_efficiency_rating,vorp,out_of_league,win_shares_per_minute,composite_score
looneke01,Kevon Looney,2020,24.125211849172345,0.10208333333333333,81.0,220.0,30.0,0.115625,262.0,0.23229166666666667,0.125,0,,0.12916666666666665
porzikr01,Kristaps Porziņģis,2020,24.6399383645681,0.8083333333333333,87.0,240.0,4.0,0.8541666666666666,1597.0,0.8666666666666667,0.8489583333333333,0,,0.875
nancela02,Larry Nance Jr.,2020,27.22178467386879,0.8427083333333334,79.0,230.0,27.0,0.815625,1472.0,0.7854166666666665,0.8489583333333333,0,,0.8541666666666675
hezonma01,Mario Hezonja,2020,25.072527671877943,0.2677083333333333,80.0,201.0,5.0,0.34479166666666666,767.0,0.23958333333333331,0.125,0,,0.2291666666666667
harremo01,Montrezl Harrell,2020,26.15400093982242,0.9104166666666667,79.0,240.0,32.0,0.9666666666666667,1749.0,0.9510416666666666,0.9468749999999999,0,,0.9583333333333329
turnemy01,Myles Turner,2020,23.99653021915906,0.6645833333333333,83.0,250.0,11.0,0.7958333333333333,1628.0,0.625,0.7625,0,,0.7354166666666666
bjeline01,Nemanja Bjelica,2020,31.870750771654023,0.8197916666666667,82.0,235.0,61.0,0.8875,1821.0,0.6875,0.9020833333333333,0,,0.8604166666666666
jokicni01,Nikola Jokić,2020,25.088955114719315,0.98125,84.0,253.0,41.0,0.9874999999999999,2101.0,0.9708333333333333,0.99375,0,,0.9854166666666666
powelno01,Norman Powell,2020,26.82752606405108,0.8854166666666666,75.0,215.0,46.0,0.84375,1269.0,0.7895833333333333,0.8489583333333333,0,,0.8708333333333333
connapa01,Pat Connaughton,2020,27.208095137168065,0.70625,77.0,209.0,41.0,0.7083333333333333,1119.0,0.365625,0.7124999999999999,0,,0.6458333333333333
netora01,Raul Neto,2020,27.84328956390972,0.378125,73.0,179.0,47.0,0.3729166666666667,565.0,0.38958333333333334,0.3614583333333333,0,,0.3625
holmeri01,Richaun Holmes,2020,26.436005362802245,0.8083333333333333,82.0,240.0,37.0,0.88125,1125.0,0.9052083333333334,0.78125,0,,0.8729166666666667
holliro01,Rondae Hollis-Jefferson,2020,25.217636743930054,0.70625,78.0,217.0,23.0,0.734375,998.0,0.6802083333333333,0.6812499999999999,0,,0.7208333333333333
johnsst04,Stanley Johnson,2020,23.815828356384134,0.07604166666666667,78.0,245.0,8.0,0.053125,96.0,0.04791666666666666,0.22291666666666665,0,,0.06041666666666667
roziete01,Terry Rozier,2020,26.017105591046562,0.5927083333333334,73.0,190.0,16.0,0.7083333333333333,2164.0,0.6447916666666667,0.7375,0,,0.69375
antetth01,Thanasis Antetokounmpo,2020,27.679015142414546,0.34375,78.0,205.0,51.0,0.21875,93.0,0.58125,0.3614583333333333,0,,0.36666666666666664
mccontj01,T.J. McConnell,2020,27.993874449341874,0.6729166666666666,73.0,190.0,61.0,0.6927083333333333,1188.0,0.7322916666666666,0.7124999999999999,0,,0.725
lylestr01,Trey Lyles,2020,24.37983719998855,0.4760416666666667,81.0,234.0,12.0,0.60625,1271.0,0.48958333333333337,0.534375,0,,0.5291666666666667
jonesty01,Tyus Jones,2020,23.867848589135953,0.725,72.0,196.0,24.0,0.7083333333333333,1232.0,0.6958333333333333,0.7375,0,,0.7416666666666667
caulewi01,Willie Cauley-Stein,2020,26.594803967578176,0.70625,84.0,240.0,6.0,0.7083333333333333,1097.0,0.7708333333333334,0.7124999999999999,0,,0.7541666666666665
ingrabr01,Brandon Ingram,2020,22.553653225564084,0.8927083333333332,79.0,190.0,2.0,0.8927083333333332,1919.0,0.8624999999999999,0.9395833333333333,0,,0.91875
forbebr01,Bryn Forbes,2020,26.665989550820022,0.2885416666666667,74.0,190.0,61.0,0.49479166666666663,1579.0,0.365625,0.084375,0,,0.3
hieldbu01,Buddy Hield,2020,27.26285327888441,0.796875,76.0,220.0,6.0,0.7239583333333333,2045.0,0.740625,0.9020833333333333,0,,0.822916666666667
leverca01,Caris LeVert,2020,25.576302562396677,0.5541666666666667,78.0,205.0,20.0,0.44791666666666663,1131.0,0.6625,0.6166666666666667,0,,0.5791666666666666
randlch01,Chasson Randle,2020,27.125957928860334,0.09375,74.0,185.0,61.0,0.115625,40.0,0.10208333333333333,0.3614583333333333,0,,0.14583333333333334
diallch01,Cheick Diallo,2020,23.522872306348564,0.4510416666666667,80.0,220.0,33.0,0.4583333333333333,467.0,0.740625,0.46562499999999996,0,,0.53125
jonesda03,Damian Jones,2020,24.730289296072197,0.4510416666666667,83.0,245.0,30.0,0.6864583333333334,887.0,0.6802083333333333,0.46562499999999996,0,,0.5833333333333334
houseda01,Danuel House,2020,26.79193327218611,0.5770833333333334,78.0,215.0,61.0,0.7770833333333333,1739.0,0.37916666666666665,0.7124999999999999,0,,0.6291666666666667
saricda01,Dario Šarić,2020,25.956871635537077,0.5135416666666666,82.0,225.0,12.0,0.6729166666666666,1441.0,0.5208333333333334,0.6166666666666667,0,,0.5958333333333333
bertada01,Dāvis Bertāns,2020,27.35868002298866,0.75625,82.0,225.0,61.0,0.7770833333333333,1583.0,0.6802083333333333,0.7989583333333333,0,,0.7791666666666667
bembrde01,DeAndre' Bembry,2020,25.718673725601192,0.328125,77.0,210.0,21.0,0.21875,915.0,0.24583333333333335,0.22291666666666665,0,,0.24375
murrade01,Dejounte Murray,2020,23.50644486477528,0.7697916666666667,76.0,170.0,29.0,0.6510416666666667,1447.0,0.7760416666666667,0.7989583333333333,0,,0.775
valende01,Denzel Valentine,2020,26.348392338724064,0.5770833333333334,76.0,210.0,14.0,0.3041666666666667,488.0,0.5104166666666666,0.534375,0,,0.46666666666666695
jonesde02,Derrick Jones Jr.,2020,23.098496720321375,0.7427083333333333,78.0,210.0,61.0,0.815625,1249.0,0.6333333333333333,0.7625,0,,0.76875
sabondo01,Domantas Sabonis,2020,23.887013938863042,0.9302083333333333,83.0,240.0,11.0,0.9739583333333333,2159.0,0.9114583333333333,0.96875,0,,0.9625
finnedo01,Dorian Finney-Smith,2020,26.88502211027263,0.6177083333333333,79.0,220.0,61.0,0.8729166666666667,1898.0,0.44895833333333335,0.7625,0,,0.6979166666666666
bendedr01,Dragan Bender,2020,22.345572294646548,0.2677083333333333,84.0,225.0,4.0,0.2552083333333333,286.0,0.340625,0.22291666666666665,0,,0.2677083333333333
vanvlfr01,Fred VanVleet,2020,26.071863730118327,0.8854166666666666,73.0,195.0,61.0,0.8927083333333332,1719.0,0.715625,0.9135416666666667,0,,0.88125
